"Library","UsedIn"
"dplyr","distance_sampling.qmd, distance_sampling_spat.qmd"
"ggplot2","distance_sampling.qmd, distance_sampling_spat.qmd"
"gt","distance_sampling.qmd"
"INLA","distance_sampling.qmd, distance_sampling_spat.qmd"
"inlabru","distance_sampling.qmd, distance_sampling_spat.qmd"
"mapview","distance_sampling.qmd, distance_sampling_spat.qmd"
"patchwork","distance_sampling.qmd, distance_sampling_spat.qmd"
"scico","distance_sampling.qmd, distance_sampling_spat.qmd"
"sf","distance_sampling.qmd, distance_sampling_spat.qmd"
"tidyterra","distance_sampling.qmd"
"webexercises","distance_sampling.qmd, distance_sampling_spat.qmd"
