"Library","UsedIn"
"CARBayesdata","Areal_ex.qmd, spatial_data_types_areal.qmd"
"DAAG","Ar1_Rw1_ex.qmd"
"dplyr","Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex.qmd, LM_ex_priors.qmd, LMM_ex.qmd, LMM_fish_example.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd"
"FSAdata","LMM_fish_example.qmd"
"ggplot2","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex.qmd, LM_ex_priors.qmd, LMM_ex.qmd, LMM_fish_example.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd, Tokyo_rainfall_ex.qmd"
"gstat","spatial_data_types_geostats.qmd"
"INLA","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex.qmd, LM_ex_priors.qmd, LMM_ex.qmd, LMM_fish_example.qmd, PointProcess_ex.qmd, Tokyo_rainfall_ex.qmd"
"inlabru","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex.qmd, LM_ex_priors.qmd, LMM_ex.qmd, LMM_fish_example.qmd, PointProcess_ex.qmd, Tokyo_rainfall_ex.qmd"
"lubridate","PointProcess_ex.qmd"
"mapview","Areal_ex.qmd, Geostat_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd"
"patchwork","Ar1_ex.qmd, Ar1_Rw1_ex.qmd, Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex.qmd, LM_ex_priors.qmd, LMM_fish_example.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd"
"scico","Areal_ex.qmd, change_priors_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, LM_ex.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd"
"sdmTMB","Geostat_ex.qmd, spatial_data_types_geostats.qmd"
"sf","Geostat_ex.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd"
"spatstat","PointProcess_ex.qmd"
"spdep","Areal_ex.qmd, spatial_data_types_areal.qmd"
"terra","Geostat_ex.qmd, PointProcess_ex.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd"
"tidyr","Tokyo_rainfall_ex.qmd"
"tidyterra","Geostat_ex.qmd, PointProcess_ex.qmd, spatial_data_types_geostats.qmd"
"tidyverse","Ar1_ex.qmd, Ar1_Rw1_ex.qmd"
"variosig","spatial_data_types_geostats.qmd"
"webexercises","Areal_ex.qmd, GAM_ex.qmd, Geostat_ex.qmd, GLM_ex.qmd, GLM_scores_ex.qmd, HGAMM_ex.qmd, LM_ex_priors.qmd, PointProcess_ex.qmd, spatial_data_types_areal.qmd, spatial_data_types_geostats.qmd, spatial_data_types_points.qmd"
